ID	Nombre	Apellidos	Alias	Imagen	Fotografo	Bio	Pronombres					116
P001	Andrés	Zelada	Vimes	vimes.jpg		vimes.txt						
P002	Laura	Tárraga		Laura-Tarraga-Hispacon.png		lauratarraga.txt						
P003	Adella	Brac		adella-brac.jpg		adellabrac.txt						
P004	Roberto	López-Herrero		RLH_400x400.jpg		rlh.txt						
P005	Seanan	McGuire		Seanan1.jpg		mcguire.txt						
P006	Celia	Arias Fernández		Celia-Arias-Fernandez.png		celiaarias.txt						
P007	Juan	Pascual Martínez		JuanPascual.jpg		jpascual.txt						
P008	Diego	Salcedo		DiegoSalcedo.jpg		dsalcedo.txt						
P009	Héctor	Vielva		HectorVielva.jpg		hvielva.txt						
P010	Javier	Font		JavierFont.jpg		jfont.txt						
P011	Laura S	Maquilón		LauraMaquilon.jpg		sierpe.txt						
P012	Marco	Granado		MarcoGranado.jpeg		mgranado.txt						
P013	Néstor	Román		NestorRoman.png		nroman.txt						
P014	Sara	Sacristán		SARA_SACRISTAN.jpg		ssacristan.txt						
P015	Claudio	Amodeo		camodeo.jpg		camodeo.txt						
P016	Alberto	Sepúlveda				asepulveda.txt						
P017	Eva	García Guerrero		egguerrero.jpg		egarciag.txt						
P018	Ibán	Sánchez		isanchez.jpg		isanchez.txt						
P020	José Ángel	Menéndez Lucas		jamenendez.png		jamenendez.txt						
P021	Yaiza	Carrasco		Foto_YaizaCarrasco.jpg		ycarrasco.txt						
P022	Manuel	Ortiz		Foto_ManuelOrtiz.jpeg		mortiz.txt						
P023	Aitor	Díaz		Foto_AitorDiaz.jpg		aitordiaz.txt						
P024	Irene	Robles		Foto_IreneRobles.jpg		irobles.txt						
P025	Andrea	Penalva		Foto_AndreaPenalva.jpg		apenalva.txt						
P026	Virginia	Buedo		Foto_VirginiaBuedo.jpg		vbuedo.txt						
P027	Viriato	Valdés Valiña		vvaldes.jpg		vvaldes.txt						
P028	Reyes	Abades		rabades.png		rabades.txt						
P029	Xurxo	Diz Pico		xdiz.jpg		xdiz.txt						
P030	Xabier	Landabidea Urresti		xlandabidea.jpg		xlandabidea.txt						
P031	Isabel	Clemente Burcio		iclemente.jpg		iclemente.txt						
P032	Álex	Sebastián				asebastian.txt						
P033	Almijara	Barbero Carvajal				abarbero.txt						
P034			Alystrin	Alystrin.jpg		alystrin.txt						
P035	Ander	Mombiela				amombiela.txt						
P036	Ángel	Vallecillo				avallecillo.txt						
P037			Azka	azka.jpg		azka.txt						
P038	Camila	Almendra		calmendra.jpg		calmendra.txt						
P039	Claudia	Fontana		cfontana.jpg		cfontana.txt						
P040	Cristina del	Toro Tomás		ctoro.jpg		ctoro.txt						
P041	Cristina	Jurado		oughyeagh.jpg		oughyeagh.txt						
P042	Cristina	Martín de Francisco		cmartin.png		cmartin.txt						
P043	Cristina	Prieto Solano				cprieto.txt						
P044	Dana	Lima				dlima.txt						
P045			Darkor_LF	darkor.jpg		darkor.txt						
P046	Elaine	Vilar Madruga		evilar.png		evilar.txt						
P047	Francis	Novoa				fnovoa.txt						
P048	Francisco	Jota-Pérez				fjota.txt						
P049	Francisco	Tapia-Fuentes				ftapia.txt						
P050	Ismael F.	Cabeza		icabeza.jpg		icabeza.txt						
P051	Jorge	Salvador Galindo		jsalvador.jpg		jsalvador.txt						
P052	José Ángel	Conde		jaconde.jpg		jaconde.txt						
P053	José Luis	Pastor Diez				jlpastor.txt						
P054	José Manuel	Cárdenas		Jose-Cardenas.jpg		jmcardenas.txt						
P055	José R.	Montejano		Jose-Montejano.jpg		jmontejano.txt						
P056	Josué	Ramos		jramos.jpeg		jramos.txt						
P057	Laura	Ponce		lponce.jpg		lponce.txt						
P058	Libia	Brenda		lbrenda.jpg		lbrenda.txt						
P059	Loreto	ML		lml.jpg		lml.txt						
P060	Lou W.	Morrison		lmorrison.jpg		lmorrison.txt						
P061	Lucía G.	Sobrado		lsobrado.jpg		lsobrado.txt						
P062	Luis	Gómez García		lgomez.png		lgomez.txt						
P063	Luisa	Oliva		loliva.png		loliva.txt						
P064	Maielis	González		maielis.jpg		maielis.txt						
P065	Manuel	Gutiérrez		mgutierrez.jpg		mgutierrez.txt						
P066	Meren	Plath		mplath.png		mplath.txt						
P067		Mirabilia Libros		mirabilia.jpg		mirabilia.txt						
P068	Nicole	Fadellin		nfadellin.jpg		nfadellin.txt						
P069	Óscar	Navas		onavas.png		onavas.txt						
P070	Rafael	Acevedo		racevedo.jpg		racevedo.txt						
P071	Ramiro	Sanchiz		rsanchiz.jpg		rsanchiz.txt						
P072	Rodrigo	Bastidas Pérez		rbastidas.jpg		rbastidas.txt						
P073	Sergio S.	Morán				smoran.txt						
P074	Sheila	Carnero		scarnero.jpg		scarnero.txt						
P075	Silvia	Moreno-García		smoreno.jpg	Martin Dee	smoreno.txt						
P076	Tomás	Apan		Tomas_Apan.jpeg		tapan.txt						
P077	Yakamí	Machado		ymachado.png		ymachado.txt						
P078	Yasmin S.	Portales-Machado		yportales.jpg		yportales.txt						
P079	Adriana	Bañares		abanares.jpg		abanares.txt						
P080			Akusokozan	Akusokozan.jpg		akusokozan.txt						
P081	Alfred	Almasy		aalmasy.jpg		almasy.txt						
