ID	PLATAFORMA	LINK
P001	twitter	https://twitter.com/aversimeduras
P001	wordpress	https://milelefantessehanposado.wordpress.com/
P002	twitter	https://twitter.com/lauratarraga__
P002	facebook	https://m.facebook.com/Lauratarragaautora
P002	instagram	https://www.instagram.com/lauratarraga__/
P002	twitch	https://www.twitch.tv/lauratarraga
P002	tiktok	https://www.tiktok.com/@lauratarraga4?
P003	www	https://adellabrac.es/
P003	twitch	https://www.twitch.tv/adellabrac
P003	twitter	https://twitter.com/adellabrac/
P003	instagram	https://www.instagram.com/adellabrac/
P003	facebook	https://www.facebook.com/adella.brac/
P003	pinterest	https://www.pinterest.es/adellabrac/
P004	twitter	https://twitter.com/RobertoLopezH
P004	wordpress	https://nmundos.home.blog/
P006	www	https://celiaariasfernandez.com/
P006	instagram	https://www.instagram.com/celiaariasfernandez/
P006	twitter	https://twitter.com/celiaariasf
P006	facebook	https://www.facebook.com/celiaariasf/
P005	twitter	https://twitter.com/seananmcguire/
P005	www	https://www.seananmcguire.com/
